"ID","generation_number","highest_fitness","average_fitness","lowest_fitness","crossover_probability","mutation_probability"
"468","467","1.1884219945","125.6589896930","999.2223045680","0.800","0.200"
"469","468","1.1884212621","9.2489805947","34.9588960772","0.800","0.200"
"470","469","1.0638410065","9.5630525544","34.9583365086","0.800","0.200"
"471","470","1.0638466218","15.6533210182","76.0865201552","0.800","0.200"
"472","471","1.0638419831","89.6009755352","708.4864354720","0.800","0.200"
"473","472","1.0638388092","101.7115680660","595.2709888240","0.800","0.200"
"474","473","1.0638407624","89.1781741888","721.1520216540","0.800","0.200"
"475","474","1.0638422272","13.9135720613","34.9320973165","0.800","0.200"
"476","475","1.0638432038","21.4021990311","86.6112703063","0.800","0.200"
"477","476","1.0638414948","29.1016481822","196.0294198770","0.800","0.200"
"478","477","1.0638410065","80.6349439015","623.9246829000","0.800","0.200"
"479","478","1.0638412507","23.5187479964","126.6007662630","0.800","0.200"
"480","479","1.0638407624","47.5745260596","152.9952290610","0.800","0.200"
"481","480","1.0638478424","41.7297346238","340.0226972560","0.800","0.200"
"482","481","1.0638407624","82.9560834900","723.5331691050","0.800","0.200"
"483","482","1.0638397858","15.4761306519","34.9607101915","0.800","0.200"
"484","483","1.0638397858","153.8309859950","1386.5030232500","0.800","0.200"
"485","484","1.0638402741","9.9348325002","31.9654191689","0.800","0.200"
"486","485","1.0638368561","13.2034943919","27.4571692712","0.800","0.200"
"487","486","1.0638346589","54.9649394785","420.6092538730","0.800","0.200"
"488","487","1.0638424714","20.0596722965","34.9320992838","0.800","0.200"
"489","488","1.0638392975","18.2336444000","34.9321592409","0.800","0.200"
"490","489","1.0638395417","131.4175996830","1186.3219424100","0.800","0.200"
"491","490","1.0638412507","9.9076904360","34.9596509146","0.800","0.200"
"492","491","1.0638026764","134.0026427770","658.8643183030","0.800","0.200"
"493","492","1.0638392975","111.8809284530","658.8643205000","0.800","0.200"
"494","493","1.0638410065","126.0233240060","635.7576551160","0.800","0.200"
"495","494","1.0638366120","40.4440644963","361.0248149990","0.800","0.200"
"496","495","1.0638400299","9.8992477849","34.9598705118","0.800","0.200"
"497","496","1.0638432038","10.8537330648","26.4498814046","0.800","0.200"
"498","497","1.0638366120","80.4888193523","707.5565378830","0.800","0.200"
"499","498","1.0638407624","9.0723537424","28.9655712846","0.800","0.200"
"500","499","1.0638373444","17.2590605877","34.9602449350","0.800","0.200"
