'milliseconds','x','y','z'
1383991060125,3.889453887939453,-0.11024407297372818,3.477909564971924
1383991060141,3.588022470474243,-0.11674801260232925,3.4411115646362305
1383991060158,3.2867960929870605,-0.12324752658605576,3.401616334915161
1383991060175,2.985774517059326,-0.12974262237548828,3.3594257831573486
1383991060191,2.68495774269104,-0.13623329997062683,3.3145415782928467
1383991060208,2.384345531463623,-0.142719566822052,3.266965627670288
1383991060225,2.083937883377075,-0.1492014080286026,3.2166998386383057
1383991060241,1.7837344408035278,-0.155678853392601,3.1637461185455322
1383991060258,1.483735203742981,-0.16215188801288605,3.1081061363220215
1383991060275,1.183940052986145,-0.1686205118894577,3.0497817993164062
1383991060291,0.8843487501144409,-0.17508473992347717,2.9887750148773193
1383991060308,0.5849612355232239,-0.18154457211494446,2.9250874519348145
1383991060325,0.28577736020088196,-0.18800000846385956,2.8587210178375244
1383991060341,-0.013203024864196777,-0.19445106387138367,2.789677381515503
1383991060358,-0.3119800388813019,-0.2008977234363556,2.717958450317383
1383991060375,-0.6105538606643677,-0.20734000205993652,2.643566131591797
1383991060391,-0.9089245796203613,-0.21377789974212646,2.566502094268799
1383991060408,-1.2070924043655396,-0.22021141648292542,2.4867682456970215
1383991060425,-1.5050573348999023,-0.22664055228233337,2.4043664932250977
1383991060441,-1.8028197288513184,-0.23306532204151154,2.319298505783081
1383991060458,-2.100379467010498,-0.2394857257604599,2.2315661907196045
1383991060475,-2.3977370262145996,-0.24590174853801727,2.141171455383301
1383991060491,-2.694892168045044,-0.25231340527534485,2.0481159687042236
1383991060508,-2.99184513092041,-0.2587206959724426,1.9524015188217163
1383991060525,-3.2885961532592773,-0.2651236355304718,1.854029893875122
1383991060541,-3.5851454734802246,-0.2715222239494324,1.7530030012130737
1383991060558,-3.881493091583252,-0.27791646122932434,1.649322509765625
1383991060575,-4.177639007568359,-0.2843063473701477,1.5429903268814087
1383991060591,-4.473583698272705,-0.29069188237190247,1.434008240699768
1383991060608,-4.769327163696289,-0.297073096036911,1.3223780393600464
1383991060625,-5.064869403839111,-0.30344995856285095,1.2081016302108765
1383991060641,-5.360210418701172,-0.3098224699497223,1.091180682182312
1383991060658,-5.655350685119629,-0.3161906599998474,0.9716169834136963
1383991060675,-5.950290203094482,-0.3225545287132263,0.8494124412536621
1383991060691,-6.245028972625732,-0.3289140462875366,0.724568784236908
1383991060708,-6.539567470550537,-0.3352692425251007,0.5970878005027771
1383991060725,-6.8339056968688965,-0.3416201174259186,0.4669712781906128
1383991060741,-7.1280436515808105,-0.34796667098999023,0.3342210650444031
1383991060758,-7.421981334686279,-0.3543089032173157,0.19883891940116882
1383991060775,-7.715719223022461,-0.3606468439102173,0.060826629400253296
1383991060791,-8.009257316589355,-0.3669804632663727,-0.07981400191783905
1383991060808,-8.302596092224121,-0.37330979108810425,-0.22308120131492615
1383991060825,-8.595735549926758,-0.3796347975730896,-0.36897316575050354
1383991060841,-8.88867473602295,-0.3859555125236511,-0.5174881219863892
1383991060858,-9.181415557861328,-0.39227190613746643,-0.6686242818832397
1383991060875,-8.703425407409668,-0.4409676492214203,-0.8705676794052124
1383991060891,-8.370318412780762,-0.4409676492214203,-0.7067365646362305
1383991060908,-8.03743839263916,-0.4409676492214203,-0.5457391142845154
1383991060925,-7.704784870147705,-0.4409676492214203,-0.38757336139678955
1383991060941,-7.372357368469238,-0.4409676492214203,-0.23223741352558136
1383991060958,-7.04015588760376,-0.4409676492214203,-0.07972933351993561
1383991060975,-6.7081804275512695,-0.4409676492214203,0.06995280086994171
1383991060991,-6.376430988311768,-0.4409676492214203,0.2168109118938446
1383991061008,-6.044907093048096,-0.4409676492214203,0.36084693670272827
1383991061025,-5.713608741760254,-0.4409676492214203,0.5020627975463867
1383991061041,-5.382535457611084,-0.4409676492214203,0.6404603719711304
1383991061058,-5.051687717437744,-0.4409676492214203,0.7760416269302368
1383991061075,-4.721064567565918,-0.4409676492214203,0.9088084101676941
1383991061091,-4.390666484832764,-0.4409676492214203,1.0387626886367798
1383991061108,-4.060492992401123,-0.4409676492214203,1.165906310081482
1383991061125,-3.730544328689575,-0.4409676492214203,1.2902412414550781
1383991061141,-3.400820016860962,-0.4409676492214203,1.4117693901062012
1383991061158,-3.071320056915283,-0.4409676492214203,1.5304926633834839
1383991061175,-2.742043972015381,-0.4409676492214203,1.646412968635559
1383991061191,-2.412992000579834,-0.4409676492214203,1.7595322132110596
1383991061208,-2.0841636657714844,-0.4409676492214203,1.8698523044586182
1383991061225,-1.7555590867996216,-0.4409676492214203,1.9773751497268677
1383991061241,-1.4271780252456665,-0.4409676492214203,2.0821025371551514
1383991061258,-1.09902024269104,-0.4409676492214203,2.1840364933013916
1383991061275,-0.7710857391357422,-0.4409676492214203,2.2831790447235107
1383991061291,-0.44337424635887146,-0.4409676492214203,2.3795318603515625
1383991061308,-0.1158856451511383,-0.4409676492214203,2.4730968475341797
1383991061325,0.2113802134990692,-0.4409676492214203,2.563875913619995
1383991061341,0.538423478603363,-0.4409676492214203,2.6518712043762207
1383991061358,0.8652443289756775,-0.4409676492214203,2.73708438873291
1383991061375,1.191842794418335,-0.4409676492214203,2.8195173740386963
1383991061391,1.518219232559204,-0.4409676492214203,2.899172067642212
1383991061408,1.8443737030029297,-0.4409676492214203,2.97605037689209
1383991061425,2.1703062057495117,-0.4409676492214203,3.050154209136963
1383991061441,2.4960169792175293,-0.4409676492214203,3.1214852333068848
1383991061458,2.8215062618255615,-0.4409676492214203,3.1900455951690674
1383991061475,3.1467742919921875,-0.4409676492214203,3.2558372020721436
1383991061491,3.4718210697174072,-0.4409676492214203,3.318861722946167
1383991061508,3.7966465950012207,-0.4409676492214203,3.3791210651397705
1383991061525,4.121251106262207,-0.4409676492214203,3.436617374420166
1383991061541,4.445634841918945,-0.4409676492214203,3.4913523197174072
1383991061558,4.769798278808594,-0.4409676492214203,3.543327808380127
1383991061575,5.093740940093994,-0.4409676492214203,3.592545747756958
1383991061591,5.417463302612305,-0.4409676492214203,3.639008045196533
1383991061608,5.740965843200684,-0.4409676492214203,3.6827163696289062
1383991061625,6.064248085021973,-0.4409676492214203,3.723672866821289
1383991061641,6.38731050491333,-0.4409676492214203,3.7618792057037354
1383991061658,6.710153102874756,-0.4409676492214203,3.797337293624878
1383991061675,7.032776355743408,-0.4409676492214203,3.8300490379333496
1383991061691,7.355179786682129,-0.4409676492214203,3.860016345977783
1383991061708,7.677364349365234,-0.4409676492214203,3.8872411251068115
1383991061725,7.999329566955566,-0.4409676492214203,3.9117250442504883
1383991061741,8.321075439453125,-0.4409676492214203,3.9334702491760254
1383991061758,8.642602920532227,-0.4409676492214203,3.9524784088134766
1383991061775,8.963912010192871,-0.4409676492214203,3.9687514305114746
1383991061791,8.434196472167969,-0.5003804564476013,3.891896963119507
1383991061808,8.11308479309082,-0.5597528219223022,3.8123726844787598
1383991061825,7.792191982269287,-0.6190848350524902,3.730180263519287
1383991061841,7.471517562866211,-0.6783764958381653,3.6453213691711426
1383991061858,7.151061058044434,-0.7376278042793274,3.557797908782959
1383991061875,6.830822467803955,-0.7968388199806213,3.467611789703369
1383991061891,6.510801792144775,-0.8560095429420471,3.374764919281006
1383991061908,6.190998554229736,-0.9151400327682495,3.279258966445923
1383991061925,5.871412754058838,-0.9742302894592285,3.181095600128174
1383991061941,5.55204439163208,-1.033280372619629,3.0802769660949707
1383991061958,5.232893466949463,-1.0922902822494507,2.976804494857788
1383991061975,4.913959503173828,-1.1512601375579834,2.870680332183838
1383991061991,4.595242500305176,-1.2101898193359375,2.761906147003174
1383991062008,4.276742458343506,-1.2690794467926025,2.6504836082458496
1383991062025,3.95845890045166,-1.3279290199279785,2.536414623260498
1383991062041,3.6403918266296387,-1.3867385387420654,2.419701099395752
1383991062058,3.3225409984588623,-1.4455080032348633,2.300344705581665
1383991062075,3.004906415939331,-1.5042375326156616,2.178347110748291
1383991062091,2.687487840652466,-1.5629271268844604,2.053710460662842
1383991062108,2.3702850341796875,-1.6215767860412598,1.9264363050460815
1383991062125,2.053297996520996,-1.6801866292953491,1.7965264320373535
1383991062141,1.7365267276763916,-1.738756537437439,1.6639827489852905
1383991062158,1.4199708700180054,-1.7972866296768188,1.5288069248199463
1383991062175,1.1036303043365479,-1.8557769060134888,1.3910008668899536
1383991062191,0.7875049114227295,-1.9142273664474487,1.2505662441253662
1383991062208,0.47159451246261597,-1.9726381301879883,1.107504963874817
1383991062225,0.15589898824691772,-2.0310091972351074,0.9618188142776489
1383991062241,-0.15958181023597717,-2.0893404483795166,0.8135095238685608
1383991062258,-0.47484803199768066,-2.147632122039795,0.6625788807868958
1383991062275,-0.7898998260498047,-2.2058842182159424,0.5090286731719971
1383991062291,-1.1047372817993164,-2.26409649848938,0.352860689163208
1383991062308,-1.419360637664795,-2.3222692012786865,0.19407671689987183
1383991062325,-1.7337700128555298,-2.3804023265838623,0.03267852962017059
1383991062341,-2.0479655265808105,-2.4384961128234863,-0.13133209943771362
1383991062358,-2.3619472980499268,-2.4965503215789795,-0.29795339703559875
1383991062375,-2.675715446472168,-2.554564952850342,-0.46718358993530273
1383991062391,-2.9892702102661133,-2.6125402450561523,-0.6390208601951599
1383991062408,-3.302611827850342,-2.670475959777832,-0.8134635090827942
1383991062425,-3.6157402992248535,-2.72837233543396,-0.9905096888542175
1383991062441,-3.9286558628082275,-2.786229372024536,-1.1701576709747314
1383991062458,-4.193819522857666,-2.825254440307617,-1.1478607654571533
1383991062475,-4.458802700042725,-2.864253044128418,-1.1283012628555298
1383991062491,-4.723605632781982,-2.9032251834869385,-1.111477255821228
1383991062508,-4.988228797912598,-2.9421706199645996,-1.0973868370056152
1383991062525,-5.252671718597412,-2.9810895919799805,-1.0860283374786377
1383991062541,-5.516934871673584,-3.019982099533081,-1.077399730682373
1383991062558,-5.781018257141113,-3.0588481426239014,-1.071499228477478
1383991062575,-6.044921875,-3.0976877212524414,-1.0683249235153198
1383991062591,-6.308646202087402,-3.1365010738372803,-1.0678750276565552
1383991062608,-6.57219123840332,-3.175287961959839,-1.0701476335525513
1383991062625,-6.835556983947754,-3.214048385620117,-1.0751409530639648
1383991062641,-7.098743438720703,-3.2527825832366943,-1.082853078842163
1383991062658,-7.361751079559326,-3.291490316390991,-1.0932822227478027
1383991062675,-7.624579906463623,-3.330171823501587,-1.106426477432251
1383991062691,-7.887229919433594,-3.3688268661499023,-1.1222840547561646
1383991062708,-8.149701118469238,-3.4074556827545166,-1.1408530473709106
1383991062725,-8.411993980407715,-3.4460582733154297,-1.1621315479278564
1383991062741,-8.665389060974121,-3.482638359069824,-1.1561386585235596
1383991062758,-8.918559074401855,-3.519176483154297,-1.1526483297348022
1383991062775,-9.17155647277832,-3.555689811706543,-1.1518826484680176
1383991062791,-8.76304817199707,-3.563591241836548,-1.11009681224823
1383991062808,-8.429941177368164,-3.563591241836548,-0.946265697479248
1383991062825,-8.097061157226562,-3.563591241836548,-0.785268247127533
1383991062841,-7.764407634735107,-3.563591241836548,-0.6271024942398071
1383991062858,-7.431980133056641,-3.563591241836548,-0.47176653146743774
1383991062875,-7.099778652191162,-3.563591241836548,-0.319258451461792
1383991062891,-6.767803192138672,-3.563591241836548,-0.16957631707191467
1383991062908,-6.43605375289917,-3.563591241836548,-0.02271820604801178
1383991062925,-6.104529857635498,-3.563591241836548,0.1213178038597107
1383991062941,-5.773231506347656,-3.563591241836548,0.26253366470336914
1383991062958,-5.442158222198486,-3.563591241836548,0.4009312391281128
1383991062975,-5.1113104820251465,-3.563591241836548,0.5365124940872192
1383991062991,-4.78068733215332,-3.563591241836548,0.6692792773246765
